ID,HinhAnh,HangXe,DongXe,NamSX,XuatXu,KieuDang,SoKm,NgoaiThat,NoiThat,NhienLieu,DongCo,HopSo,DanDong,Gia
2599,https://s.bonbanh.com/uploads/users/662631/car/4511351/m_1659261439.165.jpg,Isuzu,Dmax,2016,Nhập khẩu,Bán tải / Pickup,96000,Trắng,Nhiều màu,Dầu,2.5,Số tự động,RFD - Dẫn động cầu sau,519000000
2600,https://s.bonbanh.com/uploads/users/637764/car/4351322/m_1650879814.237.jpg,Toyota,Yaris,2017,Nhập khẩu,Hatchback,61000,Trắng,Ghi,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,518000000
2601,https://s.bonbanh.com/uploads/users/646632/car/4390325/m_1652922978.143.jpeg,Ford,Ranger,2018,Nhập khẩu,Bán tải / Pickup,24000,Xanh,Đen,Dầu,2.2,Số tự động,4WD - Dẫn động 4 bánh,755000000
2602,https://s.bonbanh.com/uploads/users/22450/car/4593695/m_1663642571.438.jpeg,Kia,K3,2015,Lắp ráp trong nước,Sedan,45000,Bạc,Đen,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,435000000
2603,https://s.bonbanh.com/uploads/users/48828/car/4422782/m_1656492574.948.jpeg,Mitsubishi,Pajero Sport,2013,Lắp ráp trong nước,SUV,80000,Vàng,Đồng,Xăng,3,Số tự động,RFD - Dẫn động cầu sau,395000000
2604,https://s.bonbanh.com/uploads/users/167882/car/4581788/m_1663043923.159.jpg,Nissan,X trail,2017,Lắp ráp trong nước,SUV,40000,Trắng,Đen,Xăng,2.5,Số tự động,4WD - Dẫn động 4 bánh,740000000
2605,https://s.bonbanh.com/uploads/users/568864/car/4559278/m_1661929872.jpeg,Kia,Soul,2009,Nhập khẩu,SUV,80000,Đỏ,Đen,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,330000000
2606,https://s.bonbanh.com/uploads/users/656792/car/4591475/m_1663520799.862.jpg,Kia,Morning,2013,Nhập khẩu,Van/Minivan,70000,Trắng,Kem,Xăng,1,Số tự động,FWD - Dẫn động cầu trước,225000000
2607,https://s.bonbanh.com/uploads/users/655418/car/4611497/m_1664518107.396.jpeg,Suzuki,Swift,2016,Lắp ráp trong nước,Hatchback,60000,Trắng,Đen,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,388000000
2608,https://s.bonbanh.com/uploads/users/638865/car/4543307/m_1660967200.367.jpeg,Mercedes Benz,E class,2017,Lắp ráp trong nước,Sedan,75000,Đen,Nâu,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,1460000000
2609,https://s.bonbanh.com/uploads/users/73236/car/4584961/m_1663206559.950.jpeg,Mercedes Benz,S class,2017,Lắp ráp trong nước,Sedan,28000,Trắng,Đen,Xăng,3,Số tự động,RFD - Dẫn động cầu sau,3279000000
2610,https://s.bonbanh.com/uploads/users/578439/car/4605259/m_1664200637.974.jpeg,BMW,6 Series,2014,Nhập khẩu,Sedan,42000,Xanh,Kem,Xăng,3,Số tự động,RFD - Dẫn động cầu sau,1950000000
2611,https://s.bonbanh.com/uploads/users/42132/car/4579738/m_1662954931.730.jpg,Toyota,Vios,2019,Lắp ráp trong nước,Sedan,38000,Trắng,Kem,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,480000000
2612,https://s.bonbanh.com/uploads/users/583545/car/4613367/m_1664612336.741.jpeg,Toyota,Hilux,2021,Nhập khẩu,Bán tải / Pickup,30000,Đỏ,Nâu,Dầu,2.4,Số tự động,RFD - Dẫn động cầu sau,769000000
